folder,unique_id_front,timestamp_front,x1_front,y1_front,x2_front,y2_front,cx_front,cy_front,speed_ms_front,unique_id_mid,timestamp_mid,x1_mid,y1_mid,x2_mid,y2_mid,cx_mid,cy_mid,speed_ms_mid,unique_id_follow,timestamp_follow,x1_follow,y1_follow,x2_follow,y2_follow,cx_follow,cy_follow,speed_ms_follow
DJI_20260121164753_0001_V,car_15,00:00:00.000,1655.0,897.0,1767.0,943.0,1711.0,920.0,0.0,car_18,00:00:00.000,1398,897,1502,947,1450.0,922.0,0.0,car_19,00:00:00.000,1023.0,904.0,1139.0,952.0,1081.0,928.0,0.0
DJI_20260121164753_0001_V,car_15,00:00:00.033,1660.0,897.0,1772.0,943.0,1716.0,920.0,5.4,car_18,00:00:00.033,1402,897,1506,947,1454.0,922.0,4.3,car_19,00:00:00.033,1027.0,905.0,1143.0,953.0,1085.0,929.0,4.4
DJI_20260121164753_0001_V,car_15,00:00:00.067,1667.0,898.0,1775.0,943.0,1721.0,920.5,7.2,car_18,00:00:00.067,1406,897,1510,947,1458.0,922.0,5.7,car_19,00:00:00.067,1031.0,905.0,1147.0,953.0,1089.0,929.0,5.8
DJI_20260121164753_0001_V,car_15,00:00:00.100,1673.0,899.0,1780.0,942.0,1726.5,920.5,8.3,car_18,00:00:00.100,1411,897,1515,947,1463.0,922.0,7.0,car_19,00:00:00.100,1035.0,905.0,1151.0,953.0,1093.0,929.0,6.5
DJI_20260121164753_0001_V,car_15,00:00:00.133,1677.0,898.0,1788.0,943.0,1732.5,920.5,9.2,car_18,00:00:00.133,1417,897,1521,947,1469.0,922.0,8.1,car_19,00:00:00.133,1041.0,905.0,1157.0,953.0,1099.0,929.0,7.8
DJI_20260121164753_0001_V,car_15,00:00:00.167,1685.0,898.0,1793.0,943.0,1739.0,920.5,12.0,car_18,00:00:00.167,1423,897,1527,947,1475.0,922.0,10.7,car_19,00:00:00.167,1044.0,905.0,1160.0,953.0,1102.0,929.0,9.0
DJI_20260121164753_0001_V,car_15,00:00:00.200,1688.0,897.0,1802.0,944.0,1745.0,920.5,12.4,car_18,00:00:00.200,1426,897,1533,948,1479.5,922.5,10.9,car_19,00:00:00.200,1049.0,904.0,1165.0,952.0,1107.0,928.0,9.5
DJI_20260121164753_0001_V,car_15,00:00:00.234,1693.0,897.0,1806.0,944.0,1749.5,920.5,12.2,car_18,00:00:00.234,1433,897,1537,947,1485.0,922.0,11.6,car_19,00:00:00.234,1055.0,905.0,1168.0,952.0,1111.5,928.5,9.7
DJI_20260121164753_0001_V,car_15,00:00:00.267,1700.0,897.0,1812.0,944.0,1756.0,920.5,12.6,car_18,00:00:00.267,1437,896,1542,947,1489.5,921.5,11.4,car_19,00:00:00.267,1060.0,905.0,1171.0,952.0,1115.5,928.5,9.7
DJI_20260121164753_0001_V,car_15,00:00:00.300,1705.0,897.0,1818.0,944.0,1761.5,920.5,12.4,car_18,00:00:00.300,1443,896,1547,947,1495.0,921.5,11.2,car_19,00:00:00.300,1062.0,905.0,1177.0,952.0,1119.5,928.5,8.8
