folder,unique_id_front,timestamp_front,x1_front,y1_front,x2_front,y2_front,cx_front,cy_front,speed_ms_front,unique_id_mid,timestamp_mid,x1_mid,y1_mid,x2_mid,y2_mid,cx_mid,cy_mid,speed_ms_mid,unique_id_follow,timestamp_follow,x1_follow,y1_follow,x2_follow,y2_follow,cx_follow,cy_follow,speed_ms_follow
DJI_20260121171238_0001_V,car_82,00:02:51.004,1790.0,952.0,1899.0,1000.0,1844.5,976.0,10.5,car_83,00:02:51.004,1442,977,1546,1028,1494.0,1002.5,11.5,car_85,00:02:51.004,75.0,1109.0,163.0,1157.0,119.0,1133.0,11.8
DJI_20260121171238_0001_V,car_82,00:02:51.038,1795.0,952.0,1904.0,1000.0,1849.5,976.0,10.7,car_83,00:02:51.038,1447,977,1552,1028,1499.5,1002.5,11.5,car_85,00:02:51.038,80.0,1109.0,169.0,1157.0,124.5,1133.0,11.4
DJI_20260121171238_0001_V,car_82,00:02:51.071,1799.0,952.0,1909.0,1000.0,1854.0,976.0,10.3,car_83,00:02:51.071,1453,977,1557,1028,1505.0,1002.5,11.7,car_85,00:02:51.071,85.0,1108.0,175.0,1156.0,130.0,1132.0,12.3
DJI_20260121171238_0001_V,car_82,00:02:51.104,1804.0,952.0,1913.0,1000.0,1858.5,976.0,9.8,car_83,00:02:51.104,1458,977,1561,1027,1509.5,1002.0,11.5,car_85,00:02:51.104,92.0,1108.0,180.0,1155.0,136.0,1131.5,12.8
DJI_20260121171238_0001_V,car_82,00:02:51.138,1809.0,952.0,1918.0,1000.0,1863.5,976.0,10.3,car_83,00:02:51.138,1464,977,1567,1027,1515.5,1002.0,11.2,car_85,00:02:51.138,97.0,1107.0,185.0,1154.0,141.0,1130.5,12.3
DJI_20260121171238_0001_V,car_82,00:02:51.171,1813.0,951.0,1923.0,999.0,1868.0,975.0,10.1,car_83,00:02:51.171,1471,978,1571,1027,1521.0,1002.5,11.6,car_85,00:02:51.171,102.0,1107.0,191.0,1153.0,146.5,1130.0,11.9
DJI_20260121171238_0001_V,car_82,00:02:51.204,1818.0,951.0,1928.0,999.0,1873.0,975.0,10.1,car_83,00:02:51.204,1475,977,1577,1026,1526.0,1001.5,11.4,car_85,00:02:51.204,107.0,1108.0,195.0,1153.0,151.0,1130.5,11.5
DJI_20260121171238_0001_V,car_82,00:02:51.238,1823.0,950.0,1933.0,998.0,1878.0,974.0,10.4,car_83,00:02:51.238,1479,975,1584,1026,1531.5,1000.5,11.4,car_85,00:02:51.238,111.0,1106.0,201.0,1152.0,156.0,1129.0,11.3
DJI_20260121171238_0001_V,car_82,00:02:51.271,1828.0,950.0,1938.0,998.0,1883.0,974.0,10.6,car_83,00:02:51.271,1483,975,1590,1026,1536.5,1000.5,11.7,car_85,00:02:51.271,116.0,1105.0,208.0,1151.0,162.0,1128.0,11.3
DJI_20260121171238_0001_V,car_82,00:02:51.304,1835.0,951.0,1943.0,998.0,1889.0,974.5,11.0,car_83,00:02:51.304,1490,975,1594,1026,1542.0,1000.5,11.4,car_85,00:02:51.304,122.0,1105.0,214.0,1151.0,168.0,1128.0,11.7
DJI_20260121171238_0001_V,car_82,00:02:51.338,1839.0,950.0,1948.0,997.0,1893.5,973.5,11.0,car_83,00:02:51.338,1496,975,1599,1025,1547.5,1000.0,11.4,car_85,00:02:51.338,128.0,1104.0,220.0,1150.0,174.0,1127.0,12.0
DJI_20260121171238_0001_V,car_82,00:02:51.371,1843.0,950.0,1953.0,998.0,1898.0,974.0,10.8,car_83,00:02:51.371,1500,975,1603,1025,1551.5,1000.0,11.0,car_85,00:02:51.371,132.0,1103.0,227.0,1150.0,179.5,1126.5,12.4
